"Date.Time"	"Phase"	"Temp.1"	"Ox.1"	"Temp.2"	"Ox.2"	"Temp.3"	"Ox.3"	"Temp.4"	"Ox.4"
"11/03/2020/09:56:43"	"F"	14.989	9.3113	14.989	9.3236	14.989	9.4271	14.989	9.2992
"11/03/2020/09:56:44"	"F"	14.986	9.3146	14.986	9.3343	14.986	9.4247	14.986	9.3025
"11/03/2020/09:56:45"	"F"	14.986	9.3164	14.986	9.3488	14.986	9.425	14.986	9.3014
"11/03/2020/09:56:46"	"F"	14.988	9.3219	14.988	9.3472	14.988	9.4236	14.988	9.3018
"11/03/2020/09:56:47"	"F"	14.99	9.3205	14.99	9.339	14.99	9.4243	14.99	9.3062
"11/03/2020/09:56:48"	"F"	14.989	9.3239	14.989	9.3281	14.989	9.4191	14.989	9.31
"11/03/2020/09:56:49"	"F"	14.986	9.3237	14.986	9.3217	14.986	9.4137	14.986	9.3041
"11/03/2020/09:56:50"	"F"	14.983	9.3222	14.983	9.3236	14.983	9.4105	14.983	9.3037
"11/03/2020/09:56:51"	"F"	14.983	9.3216	14.983	9.3276	14.983	9.4148	14.983	9.3074
"11/03/2020/09:56:52"	"F"	14.984	9.3251	14.984	9.335	14.984	9.4252	14.984	9.3106
"11/03/2020/09:56:53"	"F"	14.988	9.3272	14.988	9.3386	14.988	9.4285	14.988	9.3068
"11/03/2020/09:56:54"	"F"	14.991	9.3198	14.991	9.3397	14.991	9.4249	14.991	9.2976
"11/03/2020/09:56:55"	"F"	14.996	9.3185	14.996	9.3333	14.996	9.4205	14.996	9.2972
"11/03/2020/09:56:56"	"F"	14.997	9.3168	14.997	9.3273	14.997	9.4188	14.997	9.2983
"11/03/2020/09:56:57"	"F"	14.993	9.324	14.993	9.324	14.993	9.4206	14.993	9.3078
"11/03/2020/09:56:58"	"F"	14.986	9.3238	14.986	9.3275	14.986	9.4216	14.986	9.3124
"11/03/2020/09:56:59"	"F"	14.986	9.3281	14.986	9.3323	14.986	9.4227	14.986	9.3107
"11/03/2020/09:57:00"	"F"	14.989	9.3277	14.989	9.333	14.989	9.4263	14.989	9.3091
"11/03/2020/09:57:01"	"F"	14.994	9.3335	14.994	9.3343	14.994	9.4215	14.994	9.3033
"11/03/2020/09:57:02"	"F"	14.997	9.3297	14.997	9.3394	14.997	9.4197	14.997	9.3007
"11/03/2020/09:57:03"	"F"	15.002	9.3273	15.002	9.3364	15.002	9.4161	15.002	9.3037
"11/03/2020/09:57:04"	"F"	15.003	9.3208	15.003	9.337	15.003	9.4217	15.003	9.2978
"11/03/2020/09:57:05"	"F"	15	9.3192	15	9.33	15	9.4209	15	9.2951
"11/03/2020/09:57:06"	"F"	15.001	9.3152	15.001	9.3294	15.001	9.4221	15.001	9.2885
"11/03/2020/09:57:07"	"F"	15.002	9.3116	15.002	9.3285	15.002	9.4192	15.002	9.3004
"11/03/2020/09:57:08"	"F"	15.004	9.3093	15.004	9.3303	15.004	9.421	15.004	9.307
"11/03/2020/09:57:09"	"F"	15	9.3108	15	9.3358	15	9.4206	15	9.3064
"11/03/2020/09:57:10"	"F"	14.998	9.3096	14.998	9.3394	14.998	9.4196	14.998	9.2984
"11/03/2020/09:57:11"	"F"	14.993	9.3184	14.993	9.3375	14.993	9.4171	14.993	9.293
"11/03/2020/09:57:12"	"F"	14.988	9.3257	14.988	9.3387	14.988	9.4181	14.988	9.2917
"11/03/2020/09:57:13"	"F"	14.989	9.3337	14.989	9.335	14.989	9.4218	14.989	9.2936
"11/03/2020/09:57:14"	"F"	14.989	9.3314	14.989	9.3364	14.989	9.4229	14.989	9.2962
"11/03/2020/09:57:15"	"F"	14.987	9.3342	14.987	9.3406	14.987	9.422	14.987	9.3074
"11/03/2020/09:57:16"	"F"	14.983	9.3324	14.983	9.3417	14.983	9.4193	14.983	9.3076
"11/03/2020/09:57:17"	"F"	14.985	9.3308	14.985	9.3461	14.985	9.4214	14.985	9.3102
"11/03/2020/09:57:18"	"F"	14.989	9.3258	14.989	9.3428	14.989	9.4182	14.989	9.3064
"11/03/2020/09:57:19"	"F"	14.99	9.324	14.99	9.3551	14.99	9.4233	14.99	9.3019
