FishID,Group,Tank,Pop,Sex,BreedingCond,TL,SL,MBD,WetMass,FoilMass,PackageMass,DryMass,Exposed,ExposureDate,DPE,Infected,WormNumber,WormWetMass,WormDryMass,RespDate,Chamber,W_M1,W_M2,W_M3,W_Mavg,W_Mmin,D_M1,D_M2,D_M3,D_Mavg,D_Mmin,Notes
SG2_17,20,SG2,SG,M,Y,64.64,56.57,12.79,2.4311,0.2215,0.8849,0.6634,Y,,,N,0,0,0,12/19/2020,3,134.044,161.855,192.04,162.6463333,134.044,,,,#DIV/0!,0,
GS5_1,21,GS5,GS,F,N,67.64,57.72,11.81,2.1727,0.2476,0.9413,0.6937,N,,,NA,NA,0,0,2/15/2021,1,102.671,102.986,107.613,104.4233333,102.671,,,,#DIV/0!,0,
GS4_1,21,GS4,GS,F,N,62.51,55.71,11.26,1.8813,0.2209,0.8112,0.5903,Y,,,N,0,0,0,2/15/2021,2,100.91,111.108,115.534,109.184,100.91,,,,#DIV/0!,0,
SG4_1,21,SG4,SG,F,N,59.83,59.83,12.54,2.2878,0.2749,1.0985,0.8236,Y,,,Y,1,,,2/15/2021,3,108.808,111.443,112.145,110.7986667,108.808,,,,#DIV/0!,0,
SG4_2,21,SG4,SG,M,N,52.81,52.81,11.19,1.6831,0.2705,0.8793,0.6088,Y,,,N,0,0,0,2/15/2021,4,85.179,134.481,137.939,119.1996667,85.179,,,,#DIV/0!,0,
SG4_3,22,SG4,SG,M,N,65.1,55.73,11.93,2.2022,0.2765,,-0.2765,Y,,,N,0,0,0,2/16/2021,1,113.122,120.494,126.002,119.8726667,113.122,,,,#DIV/0!,0,
SG4_4,22,SG4,SG,M,Y,70.22,61,13.31,3.2486,0.2698,,-0.2698,Y,,,N,0,0,0,2/16/2021,2,111.372,118.556,119.949,116.6256667,111.372,,,,#DIV/0!,0,
GS4_2,22,GS4,GS,M,Y,68.68,59.27,14.17,3.412,0.2797,,-0.2797,Y,,,Y,1,0.0345,0.005,2/16/2021,3,224.428,,,224.428,224.428,,,,#DIV/0!,0,Looked really sick prior to measurement and died in chamber. Wouldn't use resp data
SG4_5,22,SG4,SG,M,Y,59.96,51.44,11.8,1.7116,0.2403,,-0.2403,Y,,,N,0,0,0,2/16/2021,4,85.722,90.381,95.348,90.48366667,85.722,,,,#DIV/0!,0,
SG4_6,23,SG4,SG,M,N,57.9,49.41,10.97,1.5337,0.2501,,-0.2501,Y,,,Y,1,0.0357,0.0048,2/17/2021,1,123.173,144.05,149.907,139.0433333,123.173,,,,#DIV/0!,0,
SG5_1,23,SG5,SG,M,Y,62.26,53.79,11.57,2.1252,0.2739,,-0.2739,N,,,NA,NA,0,0,2/17/2021,2,122.589,131.968,134.585,129.714,122.589,,,,#DIV/0!,0,
SG4_7,23,SG4,SG,M,N,61.76,53.32,11.06,1.5515,0.3049,,-0.3049,Y,,,N,0,0,0,2/17/2021,3,136.259,148.28,153.522,146.0203333,136.259,,,,,,
GS4_3,23,GS4,GS,F,N,65.24,56.28,11.53,1.9546,0.2625,,-0.2625,Y,,,N,0,0,0,2/17/2021,4,82.314,82.514,82.738,82.522,82.314,,,,,,
GS4_4,24,GS4,GS,M,Y,69.92,61.02,13.48,3.0656,0.2634,,-0.2634,Y,,,N,0,0,0,2/18/2021,1,149.656,157.191,165.64,157.4956667,149.656,,,,,,
SG4_8,24,SG4,SG,M,N,62.56,53.07,11.55,1.8097,0.2478,,-0.2478,Y,,,N,0,0,0,2/18/2021,2,90.017,107.295,111.241,102.851,90.017,,,,,,
GS5_2,24,GS5,GS,F,N,65.12,55.83,12.93,2.3453,0.268,,-0.268,N,,,NA,NA,0,0,2/18/2021,3,132.861,138.442,147.585,139.6293333,132.861,,,,,,
SG4_9,24,SG4,SG,M,N,59.92,50.51,12.27,1.8233,0.2367,,-0.2367,Y,,,Y,1,0.087,0.0157,2/18/2021,4,91.043,91.367,93.213,91.87433333,91.043,,,,,,
SG4_10,25,SG4,SG,M,Y,65.71,58.33,13.13,2.7937,0.2609,,-0.2609,Y,,,N,0,0,0,2/19/2021,1,186.383,194.28,206.955,195.8726667,186.383,,,,,,
GS4_5,25,GS4,GS,M,N,65.67,57.67,13.73,2.8497,0.2353,,-0.2353,Y,,,Y,1,0.1178,0.023,2/19/2021,2,99.458,110.271,122.001,110.5766667,99.458,,,,,,
SG4_11,25,SG4,SG,M,N,60.56,51.88,11.1,1.6302,0.2404,,-0.2404,Y,,,Y,1,0.0386,0.0058,2/19/2021,3,135.851,137.717,144.797,139.455,135.851,,,,,,
SG4_12,25,SG4,SG,M,N,62.34,53.98,10.87,1.6736,0.2335,,-0.2335,Y,,,N,0,0,0,2/19/2021,4,88,89.111,91.177,89.42933333,88,,,,,,
SG5_2,26,SG5,SG,F,Y,63.12,54.11,13.01,2.0247,0.2194,,-0.2194,Y,,,N,0,0,0,2/20/2021,3,172.078,180.04,184.529,178.8823333,172.078,,,,,,"really gravid female, might not use"
SG4_13,26,SG4,SG,M,N,62.77,53.67,10.59,1.5724,0.2364,,-0.2364,N,,,NA,NA,0,0,2/20/2021,4,84.447,87.772,93.356,88.525,84.447,,,,,,
